,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DFFA,1548.4209008904422,0.4735901345911504,0.16140157737147906,2.934234858815188,0.0033437109418167185,0.040814369458251135
PEX14,586.9446546668612,0.4830657629232427,0.11583620358369377,4.170248574956265,3.0426757579352817e-05,0.0024838248054334976
CASZ1,957.7159041160438,0.3980648470282917,0.43842687154591853,0.9079389810772592,0.3639104610248851,0.6090463399176862
TARDBP,4266.065948946216,0.023313102780200018,0.11950333802840896,0.19508327687598068,0.845327754175592,0.9292890514181135
MASP2,430.7746530416586,-0.6429198823736899,0.24052072622193052,-2.673033182930199,0.0075168814561693935,0.0661642882313509
SRM,1048.386766004189,0.34718999413429036,0.21884828172273965,1.5864414899731665,0.11263919492751881,0.3169789824382119
EXOSC10,2907.2013911167096,0.105349120329813,0.11846236144575341,0.8893045777924556,0.3738394119195707,0.6182827066513878
MTOR,5292.965840815199,0.2884256026524098,0.16073235249921294,1.7944464705935421,0.07274193529811933,0.24595215348002702
MTOR-AS1,29.43995621654531,-0.7589743602462129,0.4256154747985159,-1.7832395793538927,0.07454731215360046,0.24926838026887452
ANGPTL7,91.15197521152876,-0.551413245114008,0.3483365271268962,-1.5829900173320972,0.11342373971342312,0.31800972882461437
UBIAD1,493.350439466349,0.15806275563432437,0.12563049880316335,1.258155918667294,0.208335373508567,0.44854935135435636
